,jrk_template,phylum,class,order,family,genus,COMMENT on genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
0,jrk03183,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Fischerula,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/leucangium,,
1,jrk03986,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Hydnotrya,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/hydnotrya,,
2,jrk04268,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Kalapuya,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/leucangium,,
3,jrk04641,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Leucangium,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/leucangium,,
4,jrk09927,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Acetabula,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,contact,/tuber-helvella,,
5,jrk00900,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Balsamia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/tuber-helvella,,
6,jrk00930,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Barssia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/tuber-helvella,,
7,jrk03779,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,contact,/tuber-helvella,,
8,jrk09391,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Wynnella,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,contact,/tuber-helvella,,
9,jrk03309,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Galactinia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,contact,/galactinia,,
10,jrk04111,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Imaia,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/leucangium,,
