SeqID,Genome_id,Gene_id,prot_id,Transporter_id,Transporter_level1,Transporter_level2,Transporter_level3,Transporter_level4,Transporter_level5
Aaoar1_340043,Aaoar1,e_gw1.1.1033.1,340043,2.A.19.2.8,2,2.A,2.A.19,2.A.19.2,2.A.19.2.8
Aaoar1_438057,Aaoar1,estExt_fgenesh1_pm.C_1_t10086,438057,2.A.1.14.11,2,2.A,2.A.1,2.A.1.14,2.A.1.14.11
Aaoar1_403563,Aaoar1,fgenesh1_pg.1_#_107,403563,5.B.2.3.1,5,5.B,5.B.2,5.B.2.3,5.B.2.3.1
Aaoar1_487072,Aaoar1,estExt_Genemark1.C_1_t10103,487072,2.A.1.58.5,2,2.A,2.A.1,2.A.1.58,2.A.1.58.5
Aaoar1_382373,Aaoar1,estExt_Genewise1Plus.C_1_t10224,382373,2.A.7.11.6,2,2.A,2.A.7,2.A.7.11,2.A.7.11.6
Aaoar1_469208,Aaoar1,MIX78_18_46,469208,9.B.313.1.4,9,9.B,9.B.313,9.B.313.1,9.B.313.1.4
Aaoar1_416099,Aaoar1,fgenesh1_kg.1_#_47_#_Locus1422v1rpkm100.34,416099,9.A.55.2.1,9,9.A,9.A.55,9.A.55.2,9.A.55.2.1
Aaoar1_429546,Aaoar1,fgenesh1_pm.1_#_35,429546,2.A.89.1.1,2,2.A,2.A.89,2.A.89.1,2.A.89.1.1
Aaoar1_438011,Aaoar1,estExt_fgenesh1_pm.C_1_t10034,438011,2.A.1.2.33,2,2.A,2.A.1,2.A.1.2,2.A.1.2.33
Aaoar1_360792,Aaoar1,estExt_Genewise1.C_1_t10066,360792,2.A.19.2.4,2,2.A,2.A.19,2.A.19.2,2.A.19.2.4
Aaoar1_456451,Aaoar1,gm1.29_g,456451,9.B.313.1.1,9,9.B,9.B.313,9.B.313.1,9.B.313.1.1
Aaoar1_360743,Aaoar1,estExt_Genewise1.C_1_t10011,360743,9.B.313.1.4,9,9.B,9.B.313,9.B.313.1,9.B.313.1.4
Aaoar1_2316,Aaoar1,CE2315_34472,2316,3.A.3.9.5,3,3.A,3.A.3,3.A.3.9,3.A.3.9.5
Aaoar1_416205,Aaoar1,fgenesh1_kg.1_#_153_#_Locus4195v1rpkm29.00,416205,2.A.18.7.3,2,2.A,2.A.18,2.A.18.7,2.A.18.7.3
Aaoar1_416240,Aaoar1,fgenesh1_kg.1_#_188_#_Locus2986v1rpkm44.72,416240,2.A.50.4.5,2,2.A,2.A.50,2.A.50.4,2.A.50.4.5
Aaoar1_445776,Aaoar1,estExt_fgenesh1_pg.C_1_t10219,445776,5.B.1.5.3,5,5.B,5.B.1,5.B.1.5,5.B.1.5.3
Aaoar1_469342,Aaoar1,MIX212_6_36,469342,9.B.316.1.4,9,9.B,9.B.316,9.B.316.1,9.B.316.1.4
Aaoar1_429662,Aaoar1,fgenesh1_pm.1_#_151,429662,2.A.7.12.13,2,2.A,2.A.7,2.A.7.12,2.A.7.12.13
Aaoar1_487188,Aaoar1,estExt_Genemark1.C_1_t10239,487188,9.B.313.1.7,9,9.B,9.B.313,9.B.313.1,9.B.313.1.7
Aaoar1_337748,Aaoar1,e_gw1.1.1753.1,337748,2.A.1.1.127,2,2.A,2.A.1,2.A.1.1,2.A.1.1.127
Aaoar1_445823,Aaoar1,estExt_fgenesh1_pg.C_1_t10271,445823,9.B.115.1.5,9,9.B,9.B.115,9.B.115.1,9.B.115.1.5
Aaoar1_416332,Aaoar1,fgenesh1_kg.1_#_280_#_Locus7882v1rpkm7.19,416332,2.A.1.13.27,2,2.A,2.A.1,2.A.1.13,2.A.1.13.27
Aaoar1_5604,Aaoar1,CE5603_1594,5604,2.A.3.4.1,2,2.A,2.A.3,2.A.3.4,2.A.3.4.1
Aaoar1_416336,Aaoar1,fgenesh1_kg.1_#_284_#_Locus865v2rpkm5.12_PRE,416336,9.A.26.1.3,9,9.A,9.A.26,9.A.26.1,9.A.26.1.3
Aaoar1_5878,Aaoar1,CE5877_7677,5878,1.A.77.1.5,1,1.A,1.A.77,1.A.77.1,1.A.77.1.5
Aaoar1_416387,Aaoar1,fgenesh1_kg.1_#_335_#_Locus4341v1rpkm27.40,416387,2.A.40.7.1,2,2.A,2.A.40,2.A.40.7,2.A.40.7.1
Aaoar1_7207,Aaoar1,CE7206_2144,7207,3.A.1.205.32,3,3.A,3.A.1,3.A.1.205,3.A.1.205.32
Aaoar1_416410,Aaoar1,fgenesh1_kg.1_#_358_#_Locus5550v1rpkm17.49,416410,1.A.115.1.3,1,1.A,1.A.115,1.A.115.1,1.A.115.1.3
Aaoar1_445911,Aaoar1,estExt_fgenesh1_pg.C_1_t10369,445911,5.B.2.3.1,5,5.B,5.B.2,5.B.2.3,5.B.2.3.1
Aaoar1_429738,Aaoar1,fgenesh1_pm.1_#_227,429738,1.A.8.9.18,1,1.A,1.A.8,1.A.8.9,1.A.8.9.18
Aaoar1_403834,Aaoar1,fgenesh1_pg.1_#_378,403834,2.A.67.2.7,2,2.A,2.A.67,2.A.67.2,2.A.67.2.7
Aaoar1_337293,Aaoar1,e_gw1.1.779.1,337293,2.A.1.28.8,2,2.A,2.A.1,2.A.1.28,2.A.1.28.8
Aaoar1_469554,Aaoar1,MIX424_14_45,469554,3.A.3.5.14,3,3.A,3.A.3,3.A.3.5,3.A.3.5.14
Aaoar1_361367,Aaoar1,estExt_Genewise1.C_1_t20194,361367,2.A.1.2.58,2,2.A,2.A.1,2.A.1.2,2.A.1.2.58
Aaoar1_9145,Aaoar1,CE9144_1701,9145,9.B.313.1.2,9,9.B,9.B.313,9.B.313.1,9.B.313.1.2
Aaoar1_456860,Aaoar1,gm1.438_g,456860,8.A.102.1.4,8,8.A,8.A.102,8.A.102.1,8.A.102.1.4
Aaoar1_416520,Aaoar1,fgenesh1_kg.1_#_468_#_Locus2352v1rpkm58.09,416520,2.A.16.4.3,2,2.A,2.A.16,2.A.16.4,2.A.16.4.3
Aaoar1_9760,Aaoar1,CE9759_3866,9760,2.A.1.7.25,2,2.A,2.A.1,2.A.1.7,2.A.1.7.25
Aaoar1_438236,Aaoar1,estExt_fgenesh1_pm.C_1_t10279,438236,2.A.1.1.119,2,2.A,2.A.1,2.A.1.1,2.A.1.1.119
Aaoar1_416544,Aaoar1,fgenesh1_kg.1_#_492_#_Locus6128v1rpkm14.40,416544,9.B.314.1.1,9,9.B,9.B.314,9.B.314.1,9.B.314.1.1
Aaoar1_416547,Aaoar1,fgenesh1_kg.1_#_495_#_Locus4613v1rpkm24.89,416547,8.A.104.1.3,8,8.A,8.A.104,8.A.104.1,8.A.104.1.3
Aaoar1_403953,Aaoar1,fgenesh1_pg.1_#_497,403953,2.A.1.16.8,2,2.A,2.A.1,2.A.1.16,2.A.1.16.8
Aaoar1_10747,Aaoar1,CE10746_30281,10747,8.A.148.1.1,8,8.A,8.A.148,8.A.148.1,8.A.148.1.1
Aaoar1_10992,Aaoar1,CE10991_146,10992,9.B.313.1.7,9,9.B,9.B.313,9.B.313.1,9.B.313.1.7
Aaoar1_416586,Aaoar1,fgenesh1_kg.1_#_534_#_Locus4804v1rpkm22.96,416586,2.A.53.5.1,2,2.A,2.A.53,2.A.53.5,2.A.53.5.1
Aaoar1_11261,Aaoar1,CE11260_1416,11261,2.A.1.3.52,2,2.A,2.A.1,2.A.1.3,2.A.1.3.52
Aaoar1_487450,Aaoar1,estExt_Genemark1.C_1_t20033,487450,9.B.313.1.7,9,9.B,9.B.313,9.B.313.1,9.B.313.1.7
Aaoar1_338759,Aaoar1,e_gw1.1.2015.1,338759,2.A.36.4.4,2,2.A,2.A.36,2.A.36.4,2.A.36.4.4
Aaoar1_12675,Aaoar1,CE12674_14070,12675,3.A.1.205.30,3,3.A,3.A.1,3.A.1.205,3.A.1.205.30
Aaoar1_383013,Aaoar1,estExt_Genewise1Plus.C_1_t20409,383013,9.B.311.1.3,9,9.B,9.B.311,9.B.311.1,9.B.311.1.3
Aaoar1_469762,Aaoar1,MIX632_11_46,469762,2.A.1.2.33,2,2.A,2.A.1,2.A.1.2,2.A.1.2.33
Aaoar1_361591,Aaoar1,estExt_Genewise1.C_1_t20432,361591,4.D.1.1.17,4,4.D,4.D.1,4.D.1.1,4.D.1.1.17
Aaoar1_339759,Aaoar1,e_gw1.1.1891.1,339759,2.A.1.3.47,2,2.A,2.A.1,2.A.1.3,2.A.1.3.47
Aaoar1_487534,Aaoar1,estExt_Genemark1.C_1_t20128,487534,2.A.1.14.11,2,2.A,2.A.1,2.A.1.14,2.A.1.14.11
