	Genome_id	Species	Assembly_Length	Gene_number	Status	Publish_link	TaxID	superkingdom	kingdom	phylum	class	order	family	genus	species	taxonomy	Unnamed: 0	jrk_template	COMMENT on genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
0	Aaoar1	Aaosphaeria arxii	38,901,049	14,203	published	https://www.ncbi.nlm.nih.gov/pubmed/32206138	1450171.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria	Aaosphaeria arxii	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__;g__Aaosphaeria;s__Aaosphaeria arxii	3677.0	jrk00002		soil_saprotroph					soil		partly_aquatic			filamentous_mycelium						
1	Abobie1	Abortiporus biennis	33,118,568	11,767	published	https://www.ncbi.nlm.nih.gov/pubmed/33538380	137743.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Abortiporus	Abortiporus biennis	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Podoscyphaceae;g__Abortiporus;s__Abortiporus biennis	9103.0	jrk00005		wood_saprotroph	plant_pathogen			root_pathogen	wood,roots	white_rot	non-aquatic			filamentous_mycelium	polyporoid	poroid				
2	Absrep1	Absidia repens	47,422,896	14,919	published	https://www.ncbi.nlm.nih.gov/pubmed/28481340	90262.0	Eukaryota	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__Absidia repens	10327.0	jrk00010		soil_saprotroph					soil	mold	partly_aquatic			filamentous_mycelium	none	none				
3	Acain1	Acaromyces ingoldii	19,330,111	8,025	published	https://www.ncbi.nlm.nih.gov/pubmed/29771364	215250.0	Eukaryota	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces	Acaromyces ingoldii	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Cryptobasidiaceae;g__Acaromyces;s__Acaromyces ingoldii	9518.0	jrk00042		animal_parasite	plant_pathogen		no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed,animal_material		non-aquatic	invertebrate_parasite	mites	yeast	none	none				
4	Acastr1	Acarospora strigata	26,834,860	9,130	published	https://www.ncbi.nlm.nih.gov/pubmed/23557360	1307806.0	Eukaryota	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	Acarospora strigata	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Acarosporales;f__Acarosporaceae;g__Acarospora;s__Acarospora strigata	4807.0	jrk00044		lichenized							non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
5	Acema1	Acephala macrosclerotiorum	73,683,338	21,024	published	https://www.ncbi.nlm.nih.gov/pubmed/33046698	886606.0	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Acephala	Acephala macrosclerotiorum	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Acephala;s__Acephala macrosclerotiorum	5884.0	jrk00049		soil_saprotroph	root_endophyte_dark_septate	ectomycorrhizal_A._macrosclerotiorum	root_endophyte_dark_septate	root-associated	soil		non-aquatic			filamentous_mycelium	none	none				
6	Aciri1_meta	Acidomyces richmondensis	26,819,972	10,352	published	https://www.ncbi.nlm.nih.gov/pubmed/26973616	245562.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acidomyces	Acidomyces sp. 'richmondensis'	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Acidomyces;s__Acidomyces sp. 'richmondensis'	3026.0	jrk00072		soil_saprotroph	plant_pathogen			leaf/fruit/seed_pathogen	leaf/fruit/seed,soil		partly_aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
7	Aciri1_iso	Acidomyces richmondensis	29,883,570	11,202	published	https://www.ncbi.nlm.nih.gov/pubmed/26973616	245562.0	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acidomyces	Acidomyces sp. 'richmondensis'	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Acidomyces;s__Acidomyces sp. 'richmondensis'	3026.0	jrk00072		soil_saprotroph	plant_pathogen			leaf/fruit/seed_pathogen	leaf/fruit/seed,soil		partly_aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
8	Acrchr1	Acremonium chrysogenum	28,563,214	8,899	published	https://www.ncbi.nlm.nih.gov/pubmed/25291769	5044.0	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales		Acremonium	Acremonium chrysogenum	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__;g__Acremonium;s__Acremonium chrysogenum	6918.0	jrk00082		unspecified_saprotroph	foliar_endophyte	hypervariable	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed,soil,dung,animal_material	soft_rot	partly_aquatic			filamentous_mycelium						
9	Agabi_varbisH97_2	Agaricus bisporus	30,233,745	10,438	published	https://www.ncbi.nlm.nih.gov/pubmed/23045686	5341.0	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus bisporus	8090.0	jrk00150		soil_saprotroph					soil		non-aquatic			filamentous_mycelium	agaricoid	gills				
